symbol,timeframe,file,size_kb
BTC/USDT,1h,D:\仓库\布林带回归策略（虚拟货币）\data\BTC_USDT_1h.csv,169.6
BTC/USDT,4h,D:\仓库\布林带回归策略（虚拟货币）\data\BTC_USDT_4h.csv,176.6
BTC/USDT,5m,D:\仓库\布林带回归策略（虚拟货币）\data\BTC_USDT_5m.csv,2007.1
