type,severity,title,description,suggestion
,critical,连续亏损 10 笔,"从第29笔开始连续亏损 10 笔
累计亏损: -5646.11 USDT (5.65% 本金)
在杠杆模式下，连续亏损会导致保证金快速消耗，增加爆仓风险",连续 10 笔亏损表明策略可能进入失效期。建议: ①暂停交易 ②减小仓位 ③检查市场环境是否变化
,critical,保证金利用率过高 (96.6%),"最大占用保证金: 96592.36 USDT
占初始资金: 96.6%
保证金利用率过高时，小幅波动即可能触发强平",保证金利用率达 96.6%，建议控制在50%以下。降低杠杆或减小仓位可显著降低爆仓风险。
