index,datetime,equity
0,2026-04-03 02:05:00,100000.0
1,2026-04-04 11:50:00,103762.33
2,2026-04-05 05:40:00,107111.98
3,2026-04-06 21:20:00,106977.54
4,2026-04-09 15:10:00,108400.59
5,2026-04-09 19:05:00,106147.35
6,2026-04-10 04:55:00,103885.54
7,2026-04-11 00:45:00,103742.49
8,2026-04-12 01:35:00,107390.48
9,2026-04-13 04:30:00,107298.48
10,2026-04-13 21:30:00,107106.65
11,2026-04-14 07:50:00,106575.55
12,2026-04-15 00:35:00,107323.31
13,2026-04-15 10:10:00,107098.87
14,2026-04-16 13:00:00,104861.4
15,2026-04-16 19:35:00,102683.27
16,2026-04-17 02:15:00,103131.84
17,2026-04-18 16:50:00,100937.93
18,2026-04-19 15:20:00,100694.26
19,2026-04-20 14:25:00,100337.1
20,2026-04-24 21:00:00,98200.3
21,2026-04-25 09:05:00,96069.41
22,2026-04-26 00:55:00,93943.94
23,2026-04-27 13:45:00,91922.19
24,2026-04-28 03:50:00,91701.32
25,2026-04-30 04:40:00,89763.95
26,2026-05-01 20:20:00,90422.81
27,2026-05-03 23:30:00,90642.52
28,2026-05-04 01:00:00,90790.65
29,2026-05-04 09:50:00,88825.4
30,2026-05-05 12:30:00,86934.4
31,2026-05-06 14:05:00,89805.25
32,2026-05-07 04:25:00,90738.01
33,2026-05-07 10:30:00,90234.09
34,2026-05-08 00:45:00,90265.45
35,2026-05-08 09:15:00,88324.7
36,2026-05-09 08:00:00,88500.62
37,2026-05-10 15:50:00,86630.83
38,2026-05-11 02:15:00,86741.43
39,2026-05-11 23:00:00,87096.98
40,2026-05-13 13:50:00,89867.82
41,2026-05-13 16:00:00,89395.01
42,2026-05-15 04:55:00,89949.01
43,2026-05-16 03:50:00,87950.07
44,2026-05-16 22:00:00,89238.21
45,2026-05-17 10:10:00,87314.92
46,2026-05-18 21:35:00,87468.23
47,2026-05-18 23:40:00,85573.3
48,2026-05-19 06:35:00,83692.51
49,2026-05-20 03:30:00,83430.26
50,2026-05-20 13:30:00,83168.35
51,2026-05-21 16:25:00,82808.1
52,2026-05-21 19:45:00,81065.62
53,2026-05-22 08:30:00,79364.1
54,2026-05-23 15:05:00,82234.83
55,2026-05-24 06:35:00,84721.41
56,2026-05-26 17:30:00,84878.88
57,2026-05-27 05:55:00,85581.62
58,2026-05-28 18:05:00,88326.04
59,2026-05-29 02:55:00,90914.07
60,2026-05-29 07:40:00,91157.63
61,2026-05-29 16:25:00,91027.48
62,2026-05-31 09:30:00,91262.68
63,2026-05-31 11:05:00,91143.23
64,2026-06-01 06:25:00,93897.73
65,2026-06-01 22:55:00,93928.72
66,2026-06-04 08:00:00,91893.27
67,2026-06-04 15:15:00,91534.93
68,2026-06-05 15:35:00,89573.26
69,2026-06-05 18:50:00,87655.35
70,2026-06-06 04:15:00,85773.25
71,2026-06-07 04:55:00,83891.58
72,2026-06-07 12:40:00,84106.91
73,2026-06-08 03:40:00,84019.33
74,2026-06-08 21:15:00,82179.58
75,2026-06-08 23:15:00,82992.06
76,2026-06-10 01:05:00,82358.86
77,2026-06-12 13:30:00,83416.96
78,2026-06-12 21:55:00,83508.16
79,2026-06-14 12:35:00,81644.08
80,2026-06-15 21:00:00,81547.66
81,2026-06-17 01:50:00,81381.07
82,2026-06-17 18:00:00,82776.12
83,2026-06-18 13:40:00,80955.11
84,2026-06-20 14:50:00,80808.27
85,2026-06-21 03:20:00,78990.42
86,2026-06-21 20:50:00,77258.35
87,2026-06-22 01:30:00,79281.26
88,2026-06-22 17:35:00,79189.44
89,2026-06-23 22:20:00,81271.53
90,2026-06-25 04:50:00,81640.7
91,2026-06-26 00:50:00,79824.52
92,2026-06-26 07:15:00,79986.5
93,2026-06-27 01:10:00,79910.39
94,2026-06-28 19:30:00,79812.47
95,2026-06-28 23:35:00,79973.84
96,2026-07-01 12:30:00,80490.18
97,2026-07-01 18:25:00,80387.75
98,2026-07-02 08:40:00,80387.75
