type,severity,title,description,suggestion
,critical,连续亏损 13 笔,"从第181笔开始连续亏损 13 笔
累计亏损: -7159.18 USDT (7.16% 本金)
在杠杆模式下，连续亏损会导致保证金快速消耗，增加爆仓风险",连续 13 笔亏损表明策略可能进入失效期。建议: ①暂停交易 ②减小仓位 ③检查市场环境是否变化
,critical,保证金利用率过高 (99.2%),"最大占用保证金: 99223.66 USDT
占初始资金: 99.2%
保证金利用率过高时，小幅波动即可能触发强平",保证金利用率达 99.2%，建议控制在50%以下。降低杠杆或减小仓位可显著降低爆仓风险。
