index,datetime,equity
0,2026-04-03 02:05:00,100000.0
1,2026-04-04 15:00:00,100631.57
2,2026-04-05 04:00:00,101786.49
3,2026-04-05 19:25:00,101582.83
4,2026-04-06 15:35:00,102667.58
5,2026-04-09 20:25:00,100562.28
6,2026-04-10 00:25:00,101437.85
7,2026-04-11 04:00:00,100974.23
8,2026-04-11 18:35:00,101750.14
9,2026-04-11 22:50:00,101780.69
10,2026-04-13 04:30:00,102737.02
11,2026-04-14 17:35:00,102839.69
12,2026-04-16 10:05:00,102958.9
13,2026-04-17 05:05:00,103173.25
14,2026-04-17 23:15:00,104859.55
15,2026-04-19 07:15:00,102692.88
16,2026-04-20 09:25:00,102290.78
17,2026-04-20 14:55:00,102111.32
18,2026-04-21 02:00:00,102480.75
19,2026-04-21 12:35:00,103385.67
20,2026-04-22 10:30:00,101198.08
21,2026-04-24 09:10:00,100693.82
22,2026-04-24 15:10:00,100224.29
23,2026-04-24 20:50:00,98096.16
24,2026-04-26 00:55:00,96053.77
25,2026-04-28 07:40:00,95937.23
26,2026-04-28 16:20:00,95902.03
27,2026-04-29 01:30:00,95517.49
28,2026-04-30 00:45:00,96526.44
29,2026-04-30 13:25:00,96979.59
30,2026-05-02 05:15:00,97077.83
31,2026-05-03 00:50:00,96848.38
32,2026-05-03 20:35:00,94813.07
33,2026-05-03 23:40:00,95619.38
34,2026-05-04 14:20:00,95932.71
35,2026-05-05 06:55:00,93901.79
36,2026-05-06 14:10:00,96116.88
37,2026-05-07 14:40:00,98704.97
38,2026-05-08 08:15:00,98412.08
39,2026-05-10 01:00:00,96364.44
40,2026-05-10 13:40:00,94365.36
41,2026-05-11 02:20:00,94333.48
42,2026-05-13 06:30:00,93959.67
43,2026-05-13 22:05:00,92022.04
44,2026-05-17 13:10:00,92891.93
45,2026-05-17 18:20:00,90962.75
46,2026-05-18 13:35:00,90866.33
47,2026-05-18 19:00:00,91636.39
48,2026-05-19 07:35:00,89742.55
49,2026-05-20 05:00:00,90565.22
50,2026-05-20 11:45:00,91070.31
51,2026-05-22 00:50:00,91733.18
52,2026-05-23 14:55:00,95384.15
53,2026-05-24 12:10:00,95288.31
54,2026-05-25 20:40:00,95596.62
55,2026-05-26 10:20:00,95402.47
56,2026-05-27 01:00:00,96717.12
57,2026-05-27 10:25:00,96517.26
58,2026-05-28 12:15:00,94552.55
59,2026-05-29 16:25:00,94462.96
60,2026-05-30 08:55:00,95112.8
61,2026-05-31 11:05:00,94978.17
62,2026-06-01 19:45:00,94856.29
63,2026-06-02 12:15:00,92940.49
64,2026-06-02 19:30:00,91111.36
65,2026-06-03 06:35:00,91162.98
66,2026-06-04 07:55:00,89366.49
67,2026-06-04 20:00:00,87614.52
68,2026-06-05 14:00:00,85907.26
69,2026-06-06 00:50:00,86793.81
70,2026-06-06 08:15:00,87320.13
71,2026-06-07 04:40:00,85585.09
72,2026-06-07 19:45:00,87860.9
73,2026-06-08 15:00:00,86123.27
74,2026-06-09 15:35:00,88568.51
75,2026-06-11 01:20:00,88203.51
76,2026-06-11 17:30:00,88146.82
77,2026-06-11 23:40:00,86333.86
78,2026-06-12 19:55:00,86258.62
79,2026-06-13 18:55:00,85932.14
80,2026-06-15 10:50:00,84185.08
81,2026-06-17 00:50:00,82484.1
82,2026-06-18 02:40:00,82991.49
83,2026-06-18 13:40:00,81289.72
84,2026-06-19 02:05:00,80739.48
85,2026-06-19 12:45:00,79080.15
86,2026-06-20 05:10:00,77483.28
87,2026-06-20 14:50:00,77056.91
88,2026-06-21 03:25:00,76921.43
89,2026-06-21 17:15:00,76459.5
90,2026-06-22 07:10:00,76776.11
91,2026-06-22 22:30:00,75225.76
92,2026-06-24 22:05:00,77555.52
93,2026-06-26 05:50:00,77486.48
94,2026-06-26 15:20:00,75927.39
95,2026-06-27 02:20:00,74356.45
96,2026-06-28 14:20:00,73881.68
97,2026-06-30 00:35:00,73892.96
98,2026-07-01 00:25:00,73641.78
99,2026-07-01 21:10:00,72147.1
100,2026-07-02 08:40:00,72702.07
