datetime,equity
2026-03-24 09:40:00,100000.0
2026-03-25 15:05:00,101772.53
2026-03-26 15:05:00,99627.33
2026-03-27 07:20:00,99263.68
2026-03-28 04:15:00,99257.82
2026-03-28 23:15:00,99405.76
2026-03-31 07:10:00,99911.01
2026-04-01 12:35:00,100365.66
2026-04-01 22:10:00,100179.43
2026-04-05 15:35:00,102801.43
2026-04-05 20:35:00,100565.32
2026-04-05 22:40:00,98442.96
2026-04-06 09:10:00,96390.68
2026-04-06 17:15:00,96813.32
2026-04-07 19:55:00,96662.0
2026-04-08 14:30:00,97548.56
2026-04-09 08:40:00,99080.72
2026-04-09 14:50:00,99381.06
2026-04-09 17:05:00,97331.79
2026-04-10 12:20:00,95159.8
2026-04-11 23:05:00,96535.13
2026-04-12 09:00:00,94353.26
2026-04-13 04:40:00,93370.87
2026-04-16 10:00:00,93247.19
2026-04-16 13:15:00,93611.56
2026-04-16 18:45:00,94175.41
2026-04-18 06:30:00,93511.32
2026-04-18 16:15:00,91599.02
2026-04-20 05:10:00,89652.24
2026-04-21 01:05:00,87793.7
2026-04-21 12:40:00,88621.24
2026-04-21 23:35:00,89760.2
2026-04-22 23:20:00,90713.84
2026-04-23 00:30:00,90599.29
2026-04-23 20:10:00,89977.02
2026-04-24 11:25:00,92450.46
2026-04-25 10:35:00,94803.71
2026-04-25 22:25:00,94555.41
2026-04-26 14:20:00,92445.99
2026-04-28 08:30:00,92469.84
2026-04-29 00:40:00,92386.59
2026-04-29 09:30:00,90382.0
2026-05-01 03:20:00,93379.76
2026-05-02 21:30:00,91771.28
2026-05-04 10:10:00,94743.26
2026-05-05 20:00:00,94566.13
2026-05-06 02:30:00,94700.67
2026-05-07 00:35:00,94719.02
2026-05-08 02:05:00,92747.31
2026-05-08 16:35:00,92729.94
2026-05-09 09:45:00,92610.07
2026-05-10 11:00:00,92262.04
2026-05-11 11:00:00,91672.48
2026-05-12 06:35:00,91433.04
2026-05-12 19:50:00,92352.65
2026-05-13 11:15:00,94665.04
2026-05-14 03:05:00,92637.43
2026-05-15 00:30:00,90705.53
2026-05-16 04:30:00,88705.91
2026-05-17 09:20:00,88212.9
2026-05-19 00:25:00,87801.52
2026-05-19 23:20:00,87683.64
2026-05-21 17:20:00,87803.25
2026-05-23 18:15:00,88046.26
2026-05-24 06:50:00,86168.23
2026-05-24 21:25:00,84289.26
2026-05-24 22:15:00,84018.86
2026-05-25 09:30:00,82317.66
2026-05-25 20:45:00,82081.97
2026-05-26 10:05:00,80328.23
2026-05-26 17:25:00,78739.07
2026-05-26 22:10:00,77180.94
2026-05-27 03:45:00,75600.98
2026-05-28 13:20:00,74024.83
2026-05-29 02:25:00,75054.66
2026-05-29 04:15:00,74678.48
2026-05-30 03:40:00,75345.94
2026-05-31 07:10:00,76361.99
2026-05-31 12:15:00,76643.62
2026-05-31 21:45:00,77249.91
2026-05-31 23:25:00,77064.49
2026-06-02 01:35:00,75586.93
2026-06-02 05:00:00,74120.08
2026-06-02 12:15:00,72689.15
2026-06-03 03:30:00,71335.14
2026-06-04 21:05:00,71442.4
2026-06-05 13:50:00,70133.26
2026-06-06 08:30:00,69930.39
2026-06-07 03:15:00,68614.21
2026-06-07 15:05:00,68837.87
2026-06-08 22:15:00,68826.2
2026-06-09 13:15:00,68759.15
2026-06-10 00:35:00,67461.73
2026-06-10 18:50:00,67223.68
2026-06-11 13:45:00,67702.54
2026-06-12 04:15:00,66341.93
2026-06-14 09:40:00,66106.58
2026-06-15 10:50:00,64811.8
2026-06-15 22:20:00,65608.29
2026-06-16 18:00:00,66013.54
2026-06-17 01:15:00,64721.44
2026-06-19 13:50:00,66462.35
2026-06-19 22:40:00,65138.78
2026-06-20 14:45:00,65009.42
2026-06-21 08:20:00,65557.32
2026-06-22 11:05:00,64250.4
2026-06-22 16:15:00,64250.4
