entry_time,exit_time,side,entry_price,exit_price,size,pnl,return_pct,bars_held,exit_reason,leverage,margin,is_liquidated
2026-04-03 23:45:00,2026-04-04 11:50:00,,1.2382476,1.256,164892.56458348237,3762.325610123734,0,0,布林带中轨止盈,1,0,False
2026-04-04 18:15:00,2026-04-05 05:40:00,,1.2577484,1.238,122883.02511542222,3349.6562777437184,0,0,布林带中轨止盈,1,0,False
2026-04-06 21:15:00,2026-04-06 21:20:00,,1.2657468,1.266,176985.24034458847,-134.43798856574116,0,0,布林带中轨止盈,1,0,False
2026-04-09 14:40:00,2026-04-09 15:10:00,,1.2502499999999999,1.262,126546.71595108039,1423.043130213108,0,0,布林带中轨止盈,1,0,False
2026-04-09 16:35:00,2026-04-09 19:05:00,,1.2767446,1.2971077122716066,107903.34880056241,-2253.2329124718353,0,0,止损,1,0,False
2026-04-10 02:45:00,2026-04-10 04:55:00,,1.2927414,1.302865260791044,212476.37360031993,-2261.812462076604,0,0,止损,1,0,False
2026-04-11 00:40:00,2026-04-11 00:45:00,,1.2987402,1.299,183537.46552559172,-143.0491006306521,0,0,布林带中轨止盈,1,0,False
2026-04-11 20:00:00,2026-04-12 01:35:00,,1.3027393999999999,1.267,74849.1489114617,3647.9861460019506,0,0,布林带中轨止盈,1,0,False
2026-04-12 10:10:00,2026-04-13 04:30:00,,1.2272454000000002,1.215557356467804,93706.7155383328,-92.00090847482195,0,0,止损,1,0,False
2026-04-13 21:25:00,2026-04-13 21:30:00,,1.1872374,1.186,112063.62628387485,-191.8305154727556,0,0,布林带中轨止盈,1,0,False
2026-04-14 07:45:00,2026-04-14 07:50:00,,1.1827634,1.186,143113.70728161442,-531.0949677220601,0,0,布林带中轨止盈,1,0,False
2026-04-14 23:45:00,2026-04-15 00:35:00,,1.1672334,1.172,173987.2701621187,747.7624897027457,0,0,布林带中轨止盈,1,0,False
2026-04-15 10:05:00,2026-04-15 10:10:00,,1.165233,1.164,132133.96842310007,-224.44275876348303,0,0,布林带中轨止盈,1,0,False
2026-04-16 10:05:00,2026-04-16 13:00:00,,1.254749,1.2837376214941707,75840.97957767386,-2237.4694182182584,0,0,止损,1,0,False
2026-04-16 16:30:00,2026-04-16 19:35:00,,1.294741,1.3407040588708268,46842.2864819431,-2178.1354286589403,0,0,止损,1,0,False
2026-04-17 01:50:00,2026-04-17 02:15:00,,1.3037392,1.299,106306.82997955465,448.57229978174644,0,0,布林带中轨止盈,1,0,False
2026-04-18 16:10:00,2026-04-18 16:50:00,,1.3032606,1.2890988698690684,149475.3486320236,-2193.9049497515625,0,0,止损,1,0,False
2026-04-19 15:10:00,2026-04-19 15:20:00,,1.2737452,1.275,138072.4330045183,-243.67022976635863,0,0,布林带中轨止盈,1,0,False
2026-04-20 14:20:00,2026-04-20 14:25:00,,1.2712541999999998,1.269,129323.85326028251,-357.1666179342318,0,0,布林带中轨止盈,1,0,False
2026-04-24 16:40:00,2026-04-24 21:00:00,,1.2507498,1.263720982259424,158555.63880668863,-2136.8021242671925,0,0,止损,1,0,False
2026-04-25 06:55:00,2026-04-25 09:05:00,,1.2637472,1.272386152927487,232936.97235746158,-2130.8858505204093,0,0,止损,1,0,False
2026-04-25 22:30:00,2026-04-26 00:55:00,,1.2462492,1.2400773165916843,318761.50350369816,-2125.474398643299,0,0,止损,1,0,False
2026-04-27 11:20:00,2026-04-27 13:45:00,,1.2382476,1.228808906243479,203595.04674403722,-2021.7430592439882,0,0,止损,1,0,False
2026-04-28 03:45:00,2026-04-28 03:50:00,,1.2342468,1.234,298320.9776381873,-220.87685184331133,0,0,布林带中轨止盈,1,0,False
2026-04-30 03:35:00,2026-04-30 04:40:00,,1.2172434,1.203488077579993,136082.34099238366,-1937.3658660009896,0,0,止损,1,0,False
2026-05-01 19:40:00,2026-05-01 20:20:00,,1.2107578,1.208,289659.66300384566,658.859869468589,0,0,布林带中轨止盈,1,0,False
2026-05-03 23:20:00,2026-05-03 23:30:00,,1.2137572,1.212,172677.07422499743,219.71430924390836,0,0,布林带中轨止盈,1,0,False
2026-05-04 00:55:00,2026-05-04 01:00:00,,1.2112422,1.213,116394.92491862003,148.12418145143954,0,0,布林带中轨止盈,1,0,False
2026-05-04 07:35:00,2026-05-04 09:50:00,,1.2407518000000002,1.2485319495017084,237361.47195872996,-1965.2490903129396,0,0,止损,1,0,False
2026-05-05 11:10:00,2026-05-05 12:30:00,,1.2567485999999999,1.2673947104011047,169549.87639449933,-1891.001349186142,0,0,止损,1,0,False
2026-05-06 13:00:00,2026-05-06 14:05:00,,1.3167366,1.293,87593.62349742449,2870.8504053701895,0,0,布林带中轨止盈,1,0,False
2026-05-07 04:15:00,2026-05-07 04:25:00,,1.3032606,1.311,129281.26120168588,932.7642995701574,0,0,布林带中轨止盈,1,0,False
2026-05-07 10:25:00,2026-05-07 10:30:00,,1.3107378,1.314,133038.42261863654,-503.92293719487054,0,0,布林带中轨止盈,1,0,False
2026-05-08 00:40:00,2026-05-08 00:45:00,,1.3037392,1.303,143863.3918132665,31.362219415315394,0,0,布林带中轨止盈,1,0,False
2026-05-08 09:00:00,2026-05-08 09:15:00,,1.314737,1.3247056130267187,184859.6055034158,-1940.7476943483423,0,0,止损,1,0,False
2026-05-09 04:40:00,2026-05-09 08:00:00,,1.3717256000000002,1.37,149381.24018060695,175.9113484366984,0,0,布林带中轨止盈,1,0,False
2026-05-10 14:20:00,2026-05-10 15:50:00,,1.3567286,1.3717553411791412,120046.88897187014,-1869.7835143970283,0,0,止损,1,0,False
2026-05-11 02:10:00,2026-05-11 02:15:00,,1.359728,1.358,93349.48288962118,110.60046732761867,0,0,布林带中轨止盈,1,0,False
2026-05-11 21:55:00,2026-05-11 23:00:00,,1.3657268000000002,1.363,162977.9814804245,355.552764397735,0,0,布林带中轨止盈,1,0,False
2026-05-13 10:30:00,2026-05-13 13:50:00,,1.4107178,1.344,28721.901146016757,2770.83903645729,0,0,布林带中轨止盈,1,0,False
2026-05-13 15:55:00,2026-05-13 16:00:00,,1.3177364,1.326,53765.09265872082,-472.8102248407929,0,0,布林带中轨止盈,1,0,False
2026-05-15 04:50:00,2026-05-15 04:55:00,,1.3467306,1.342,132099.3345210381,553.9981891143334,0,0,布林带中轨止盈,1,0,False
2026-05-16 03:20:00,2026-05-16 03:50:00,,1.3122624,1.306064743226542,297458.2999559702,-1998.9443668044808,0,0,止损,1,0,False
2026-05-16 13:25:00,2026-05-16 22:00:00,,1.2672534,1.271,142160.84189503914,1288.145032299748,0,0,布林带中轨止盈,1,0,False
2026-05-17 08:15:00,2026-05-17 10:10:00,,1.2787442,1.2901275363680573,161629.17351657152,-1923.2881480038927,0,0,止损,1,0,False
2026-05-18 21:30:00,2026-05-18 21:35:00,,1.2442488,1.246,122371.8422734955,153.30744400022937,0,0,布林带中轨止盈,1,0,False
2026-05-18 22:45:00,2026-05-18 23:40:00,,1.2447510000000002,1.2544381459207694,185979.24534189305,-1894.9278717440336,0,0,止损,1,0,False
2026-05-19 05:15:00,2026-05-19 06:35:00,,1.2447510000000002,1.252170607233269,237459.67841985275,-1880.7935595017946,0,0,止损,1,0,False
2026-05-20 03:25:00,2026-05-20 03:30:00,,1.2312462,1.23,150872.71715830895,-262.2469569645689,0,0,布林带中轨止盈,1,0,False
2026-05-20 13:25:00,2026-05-20 13:30:00,,1.229754,1.231,150665.42623250379,-261.9167769625967,0,0,布林带中轨止盈,1,0,False
2026-05-21 16:20:00,2026-05-21 16:25:00,,1.2527494,1.255,130875.58775517275,-360.24814285488736,0,0,布林带中轨止盈,1,0,False
2026-05-21 18:50:00,2026-05-21 19:45:00,,1.274745,1.2954366688405405,82154.26455625803,-1742.4790947593683,0,0,止损,1,0,False
2026-05-22 04:45:00,2026-05-22 08:30:00,,1.3117376,1.335573404778344,69820.23320434772,-1701.5214668705444,0,0,止损,1,0,False
2026-05-23 12:35:00,2026-05-23 15:05:00,,1.2212442000000001,1.246,86513.28354246044,2870.7290603861334,0,0,布林带中轨止盈,1,0,False
2026-05-24 02:20:00,2026-05-24 06:35:00,,1.2887422,1.271,97852.62312819483,2486.5825829507253,0,0,布林带中轨止盈,1,0,False
2026-05-26 17:25:00,2026-05-26 17:30:00,,1.2497500000000001,1.247,69947.75637786304,157.4663891578474,0,0,布林带中轨止盈,1,0,False
2026-05-27 05:00:00,2026-05-27 05:55:00,,1.255251,1.265,76029.97894187736,702.745095359773,0,0,布林带中轨止盈,1,0,False
2026-05-28 12:35:00,2026-05-28 18:05:00,,1.1942388,1.224,64414.03428420788,2744.417947772828,0,0,布林带中轨止盈,1,0,False
2026-05-28 22:05:00,2026-05-29 02:55:00,,1.219756,1.203,105289.80646927662,2588.029926165396,0,0,布林带中轨止盈,1,0,False
2026-05-29 07:35:00,2026-05-29 07:40:00,,1.2057588,1.203,106939.71426644053,243.56589321322775,0,0,布林带中轨止盈,1,0,False
2026-05-29 16:20:00,2026-05-29 16:25:00,,1.2117576,1.213,75336.34797563798,-130.15107476271044,0,0,布林带中轨止盈,1,0,False
2026-05-31 08:00:00,2026-05-31 09:30:00,,1.1942388,1.196,183345.8617587958,235.19607146418662,0,0,布林带中轨止盈,1,0,False
2026-05-31 11:00:00,2026-05-31 11:05:00,,1.1932386,1.193,166879.68953128508,-119.45248176647162,0,0,布林带中轨止盈,1,0,False
2026-06-01 03:50:00,2026-06-01 06:25:00,,1.1957608,1.172,78694.93035631662,2754.5018386352112,0,0,布林带中轨止盈,1,0,False
2026-06-01 22:50:00,2026-06-01 22:55:00,,1.1622324,1.163,102490.02595634409,30.992983849207718,0,0,布林带中轨止盈,1,0,False
2026-06-04 06:05:00,2026-06-04 08:00:00,,1.0642128,1.046185517172974,110347.98854983092,-2035.4521859692334,0,0,止损,1,0,False
2026-06-04 15:10:00,2026-06-04 15:15:00,,1.0662132,1.062,77260.91846910212,-358.33613985968924,0,0,布林带中轨止盈,1,0,False
2026-06-05 07:25:00,2026-06-05 15:35:00,,0.9831966,0.9495084224009129,57581.0354815199,-1961.6696209048828,0,0,止损,1,0,False
2026-06-05 16:20:00,2026-06-05 18:50:00,,0.9641928,0.924715677679842,48132.02527748466,-1917.917224745227,0,0,止损,1,0,False
2026-06-05 19:45:00,2026-06-06 04:15:00,,0.9391877999999999,0.9065925801191447,57106.049392745466,-1882.0930047472698,0,0,止损,1,0,False
2026-06-07 02:15:00,2026-06-07 04:55:00,,0.9538092,0.9658801707489875,151049.43486855456,-1881.6715715263567,0,0,止损,1,0,False
2026-06-07 12:15:00,2026-06-07 12:40:00,,0.9568086,0.954,88719.8152287116,215.32299156008747,0,0,布林带中轨止盈,1,0,False
2026-06-08 03:35:00,2026-06-08 03:40:00,,0.964807,0.965,151252.16098287504,-87.57500120908446,0,0,布林带中轨止盈,1,0,False
2026-06-08 16:30:00,2026-06-08 21:15:00,,0.9818036,0.9948355184453497,136989.479398624,-1839.7485232974132,0,0,止损,1,0,False
2026-06-08 22:00:00,2026-06-08 23:15:00,,0.9838032,0.977,126703.48337405588,812.4734167877971,0,0,布林带中轨止盈,1,0,False
2026-06-10 01:00:00,2026-06-10 01:05:00,,0.9641928,0.96,138349.3592134533,-633.1973472481326,0,0,布林带中轨止盈,1,0,False
2026-06-12 12:25:00,2026-06-12 13:30:00,,0.9628074,0.956,164684.9853218709,1058.1010306930236,0,0,布林带中轨止盈,1,0,False
2026-06-12 21:50:00,2026-06-12 21:55:00,,0.9528094,0.952,212795.53872919388,91.20416789934765,0,0,布林带中轨止盈,1,0,False
2026-06-14 09:40:00,2026-06-14 12:35:00,,0.9721943999999999,0.9650141054156989,246366.148536787,-1864.0802454677696,0,0,止损,1,0,False
2026-06-15 20:55:00,2026-06-15 21:00:00,,1.0157968,1.016,158171.69402716306,-96.42146467896967,0,0,布林带中轨止盈,1,0,False
2026-06-17 01:45:00,2026-06-17 01:50:00,,1.0292058,1.028,103027.43302788975,-166.59535920608988,0,0,布林带中轨止盈,1,0,False
2026-06-17 16:50:00,2026-06-17 18:00:00,,1.0287941999999999,1.015,104200.23319915438,1395.0535621169165,0,0,布林带中轨止盈,1,0,False
2026-06-18 12:25:00,2026-06-18 13:40:00,,0.980196,0.9707052137022254,184329.64478580715,-1821.0051659001747,0,0,止损,1,0,False
2026-06-20 14:45:00,2026-06-20 14:50:00,,0.9661932,0.965,92988.77403486427,-146.84787195585815,0,0,布林带中轨止盈,1,0,False
2026-06-21 01:25:00,2026-06-21 03:20:00,,0.9678064,0.9738582649586797,282212.5119277409,-1817.8460067227065,0,0,止损,1,0,False
2026-06-21 18:30:00,2026-06-21 20:50:00,,0.9661932,0.9560116617756361,163960.4977473523,-1732.069334267193,0,0,止损,1,0,False
2026-06-22 00:05:00,2026-06-22 01:30:00,,0.9481896,0.963,85897.13955787155,2022.9086896567003,0,0,布林带中轨止盈,1,0,False
2026-06-22 17:30:00,2026-06-22 17:35:00,,0.9528094,0.953,160576.39996514245,-91.81758550005718,0,0,布林带中轨止盈,1,0,False
2026-06-23 19:00:00,2026-06-23 22:20:00,,0.9011802,0.911,136318.84011094438,2082.0892473292724,0,0,布林带中轨止盈,1,0,False
2026-06-25 04:45:00,2026-06-25 04:50:00,,0.885177,0.887,251445.78753723172,369.1727052621684,0,0,布林带中轨止盈,1,0,False
2026-06-25 23:30:00,2026-06-26 00:50:00,,0.8491698,0.8407568387228698,207581.41674241357,-1816.1846191929394,0,0,止损,1,0,False
2026-06-26 06:40:00,2026-06-26 07:15:00,,0.8391677999999999,0.841,108292.18459809637,161.9834497218392,0,0,布林带中轨止盈,1,0,False
2026-06-26 22:00:00,2026-06-27 01:10:00,,0.8478304,0.848,149602.525484551,-76.11776496653835,0,0,布林带中轨止盈,1,0,False
2026-06-28 18:55:00,2026-06-28 19:30:00,,0.810162,0.81,201477.23760572934,-97.91793747638356,0,0,布林带中轨止盈,1,0,False
2026-06-28 23:30:00,2026-06-28 23:35:00,,0.8091618,0.811,106600.55372513045,161.37191822910376,0,0,布林带中轨止盈,1,0,False
2026-07-01 11:55:00,2026-07-01 12:30:00,,0.8318336,0.829,206372.60882023096,516.3442672682162,0,0,布林带中轨止盈,1,0,False
2026-07-01 18:20:00,2026-07-01 18:25:00,,0.8348329999999999,0.835,204452.3145550759,-102.43060959209879,0,0,布林带中轨止盈,1,0,False
