index,datetime,equity
0,2026-04-03 02:10:00,100000.0
1,2026-04-04 10:40:00,100198.53
2,2026-04-04 19:05:00,98098.1
3,2026-04-04 23:45:00,98201.49
4,2026-04-07 19:45:00,99336.3
5,2026-04-08 07:25:00,97242.15
6,2026-04-09 13:40:00,95195.99
7,2026-04-09 17:35:00,93252.69
8,2026-04-11 13:15:00,92581.62
9,2026-04-12 01:40:00,96445.7
10,2026-04-14 14:50:00,96022.2
11,2026-04-16 09:00:00,95672.35
12,2026-04-16 13:55:00,95219.21
13,2026-04-17 12:05:00,94220.65
14,2026-04-19 15:35:00,94735.87
15,2026-04-21 17:00:00,94831.36
16,2026-04-24 03:20:00,96209.3
17,2026-04-27 00:30:00,95889.4
18,2026-04-28 19:45:00,95677.11
19,2026-05-01 09:45:00,95847.12
20,2026-05-04 19:35:00,95640.17
21,2026-05-06 07:25:00,93671.07
22,2026-05-07 06:10:00,93759.18
23,2026-05-07 13:35:00,94353.95
24,2026-05-09 00:30:00,92394.22
25,2026-05-11 02:15:00,92595.21
26,2026-05-11 14:10:00,92394.82
27,2026-05-11 17:45:00,92162.1
28,2026-05-14 03:20:00,92074.29
29,2026-05-15 02:35:00,94334.73
30,2026-05-16 20:40:00,92295.12
31,2026-05-17 13:00:00,91978.9
32,2026-05-19 05:35:00,90051.82
33,2026-05-20 13:35:00,91055.83
34,2026-05-22 11:45:00,89126.8
35,2026-05-23 15:15:00,91465.95
36,2026-05-24 06:05:00,89506.46
37,2026-05-25 00:35:00,90180.87
38,2026-05-26 08:15:00,90251.85
39,2026-05-28 12:20:00,88344.78
40,2026-05-30 14:55:00,86488.66
41,2026-05-31 13:15:00,87067.78
42,2026-05-31 16:20:00,85225.83
43,2026-06-01 00:35:00,85064.06
44,2026-06-01 13:50:00,83318.7
45,2026-06-04 07:20:00,81613.6
46,2026-06-04 18:30:00,81418.06
47,2026-06-05 12:35:00,79766.93
48,2026-06-05 19:15:00,78161.89
49,2026-06-05 21:35:00,79596.12
50,2026-06-06 07:20:00,79349.73
51,2026-06-07 05:10:00,77718.27
52,2026-06-08 04:55:00,78848.08
53,2026-06-08 21:05:00,77199.84
54,2026-06-09 14:15:00,77117.15
55,2026-06-09 15:55:00,75534.58
56,2026-06-09 19:05:00,75132.02
57,2026-06-11 08:15:00,75109.6
58,2026-06-12 22:00:00,74656.82
59,2026-06-13 21:10:00,75223.77
60,2026-06-14 13:20:00,73658.46
61,2026-06-15 10:35:00,72097.09
62,2026-06-15 22:30:00,71756.46
63,2026-06-16 18:00:00,72890.93
64,2026-06-17 15:45:00,73500.16
65,2026-06-18 12:20:00,74476.46
66,2026-06-19 17:45:00,74674.89
67,2026-06-20 00:10:00,74410.34
68,2026-06-20 02:20:00,74319.49
69,2026-06-20 12:35:00,75032.08
70,2026-06-20 14:50:00,74705.98
71,2026-06-20 22:15:00,76241.87
72,2026-06-21 04:55:00,76217.52
73,2026-06-22 05:05:00,76831.53
74,2026-06-22 17:40:00,76613.31
75,2026-06-24 04:50:00,76485.04
76,2026-06-24 10:20:00,75987.75
77,2026-06-24 12:55:00,75998.84
78,2026-06-24 22:00:00,78223.43
79,2026-06-25 04:50:00,78548.83
80,2026-06-26 02:10:00,76938.24
81,2026-06-26 13:50:00,77138.28
82,2026-06-28 12:30:00,77703.28
83,2026-06-29 10:05:00,76068.34
84,2026-06-29 16:50:00,75712.37
85,2026-06-30 00:35:00,75633.04
86,2026-07-01 21:05:00,74034.73
87,2026-07-02 08:45:00,74034.73
