type,severity,title,description,suggestion
,warning,连续亏损 6 笔,"从第29笔开始连续亏损 6 笔
累计亏损: -8696.76 USDT (8.70% 本金)
在杠杆模式下，连续亏损会导致保证金快速消耗，增加爆仓风险",连续 6 笔亏损表明策略可能进入失效期。建议: ①暂停交易 ②减小仓位 ③检查市场环境是否变化
,warning,保证金利用率过高 (83.8%),"最大占用保证金: 83751.04 USDT
占初始资金: 83.8%
保证金利用率过高时，小幅波动即可能触发强平",保证金利用率达 83.8%，建议控制在50%以下。降低杠杆或减小仓位可显著降低爆仓风险。
