type,severity,title,description,suggestion
,critical,连续亏损 9 笔,"从第17笔开始连续亏损 9 笔
累计亏损: -13356.62 USDT (13.36% 本金)
在杠杆模式下，连续亏损会导致保证金快速消耗，增加爆仓风险",连续 9 笔亏损表明策略可能进入失效期。建议: ①暂停交易 ②减小仓位 ③检查市场环境是否变化
,warning,保证金利用率过高 (79.4%),"最大占用保证金: 79407.12 USDT
占初始资金: 79.4%
保证金利用率过高时，小幅波动即可能触发强平",保证金利用率达 79.4%，建议控制在50%以下。降低杠杆或减小仓位可显著降低爆仓风险。
