type,severity,title,description,suggestion
,critical,连续亏损 10 笔,"从第64笔开始连续亏损 10 笔
累计亏损: -14021.43 USDT (14.02% 本金)
在杠杆模式下，连续亏损会导致保证金快速消耗，增加爆仓风险",连续 10 笔亏损表明策略可能进入失效期。建议: ①暂停交易 ②减小仓位 ③检查市场环境是否变化
,warning,保证金利用率过高 (87.3%),"最大占用保证金: 87291.08 USDT
占初始资金: 87.3%
保证金利用率过高时，小幅波动即可能触发强平",保证金利用率达 87.3%，建议控制在50%以下。降低杠杆或减小仓位可显著降低爆仓风险。
