index,datetime,equity
0,2026-04-03 02:10:00,100000.0
1,2026-04-04 15:05:00,99886.0
2,2026-04-04 18:15:00,97752.24
3,2026-04-04 19:10:00,96581.57
4,2026-04-05 02:45:00,96725.29
5,2026-04-05 17:50:00,96594.2
6,2026-04-06 13:35:00,95475.72
7,2026-04-07 05:15:00,93389.91
8,2026-04-08 05:20:00,91370.64
9,2026-04-09 10:55:00,89418.35
10,2026-04-09 14:50:00,89591.33
11,2026-04-09 21:05:00,87699.12
12,2026-04-10 14:15:00,85823.01
13,2026-04-11 00:05:00,86155.64
14,2026-04-13 06:00:00,86891.89
15,2026-04-13 14:55:00,87470.07
16,2026-04-14 08:25:00,85607.22
17,2026-04-14 17:35:00,86642.02
18,2026-04-14 22:30:00,86539.74
19,2026-04-15 10:50:00,86185.68
20,2026-04-16 01:05:00,87017.2
21,2026-04-17 05:10:00,89594.0
22,2026-04-17 23:15:00,90255.96
23,2026-04-19 13:15:00,90756.07
24,2026-04-20 04:45:00,90795.24
25,2026-04-20 15:00:00,91007.65
26,2026-04-21 14:15:00,89072.3
27,2026-04-22 19:40:00,88893.61
28,2026-04-23 15:00:00,88633.61
29,2026-04-24 15:40:00,88472.61
30,2026-04-25 04:50:00,88517.22
31,2026-04-26 05:10:00,89211.18
32,2026-04-27 00:30:00,88953.92
33,2026-04-27 21:55:00,88094.22
34,2026-04-28 08:15:00,88533.66
35,2026-04-28 17:35:00,89256.91
36,2026-04-29 15:15:00,88907.71
37,2026-04-30 02:35:00,87083.42
38,2026-04-30 16:20:00,88015.49
39,2026-05-02 23:35:00,87548.6
40,2026-05-03 11:35:00,87874.18
41,2026-05-03 11:40:00,88390.55
42,2026-05-04 10:10:00,91361.72
43,2026-05-04 20:30:00,90448.62
44,2026-05-05 19:25:00,88559.61
45,2026-05-06 03:00:00,86729.19
46,2026-05-06 14:10:00,89011.0
47,2026-05-07 06:45:00,91340.12
48,2026-05-08 05:45:00,91049.18
49,2026-05-08 09:45:00,90968.99
50,2026-05-08 11:45:00,89968.29
51,2026-05-08 13:25:00,89901.83
52,2026-05-09 00:25:00,87979.88
53,2026-05-10 13:00:00,86085.5
54,2026-05-11 06:50:00,85608.08
55,2026-05-12 10:40:00,83847.98
56,2026-05-12 20:10:00,84043.14
57,2026-05-14 03:20:00,82293.17
58,2026-05-15 02:00:00,82178.1
59,2026-05-17 13:00:00,82557.76
60,2026-05-18 22:15:00,80841.76
61,2026-05-19 11:45:00,80581.31
62,2026-05-20 05:05:00,80885.18
63,2026-05-21 07:00:00,80868.99
64,2026-05-21 17:20:00,81137.72
65,2026-05-22 11:50:00,80829.93
66,2026-05-23 14:55:00,83274.99
67,2026-05-24 10:10:00,82749.31
68,2026-05-25 05:20:00,83002.18
69,2026-05-25 08:35:00,82484.61
70,2026-05-27 05:20:00,83867.19
71,2026-05-27 08:25:00,83856.27
72,2026-05-27 17:05:00,84453.54
73,2026-05-28 15:35:00,84472.34
74,2026-06-03 06:40:00,84387.59
75,2026-06-04 09:25:00,82721.21
76,2026-06-04 18:25:00,82989.96
77,2026-06-05 13:55:00,81361.45
78,2026-06-07 06:20:00,81547.01
79,2026-06-09 15:55:00,79933.88
80,2026-06-09 17:15:00,81286.89
81,2026-06-13 20:35:00,79639.94
82,2026-06-14 14:35:00,81856.1
83,2026-06-15 22:30:00,81432.95
84,2026-06-16 09:35:00,81844.06
85,2026-06-16 22:10:00,81901.08
86,2026-06-17 14:45:00,80253.59
87,2026-06-17 15:35:00,80307.85
88,2026-06-18 15:15:00,78703.84
89,2026-06-19 00:15:00,78846.21
90,2026-06-19 21:55:00,79800.0
91,2026-06-21 22:35:00,79706.06
92,2026-06-22 17:30:00,79568.33
93,2026-06-24 03:15:00,79435.74
94,2026-06-25 05:25:00,81680.46
95,2026-06-25 21:35:00,82139.91
96,2026-06-27 19:35:00,82126.05
97,2026-06-28 07:00:00,82191.0
98,2026-06-28 21:40:00,82102.96
99,2026-06-30 00:50:00,82121.98
100,2026-06-30 20:45:00,80447.99
101,2026-07-01 10:15:00,80211.94
102,2026-07-02 08:45:00,80211.94
