entry_time,exit_time,direction,entry_price,exit_price,size,stop_loss,initial_stop,take_profit_1,pnl,pnl_pct,rr,exit_reason,tp1_hit,breakeven_set,signal_strength,leverage,margin,position_value,liquidation_price,funding_fees,liquidation_fee,is_liquidated,margin_ratio_at_entry,mmr_tier
2026-03-25 14:00:00,2026-03-25 15:05:00,short,71470.073126,70924.4,3.42648107098844,72053.76232741826,72053.76232741826,70886.38392458175,1772.5301915576351,1.772530191557635,0.93486931859306,布林带中轨止盈,false,false,1,10.0,24489.08527083986,244890.8527083986,100599.79139090097,0.0,0.0,false,0.1,2
2026-03-26 13:45:00,2026-03-26 15:05:00,long,69661.62954,69158.06970122924,4.038232044027679,69158.06970122924,69158.06970122924,70165.18937877075,-2145.202010277727,-2.145202010277727,0.0,止损,false,false,2,10.0,28130.98246476131,281309.8246476131,45500.127773943095,0.0,0.0,false,0.09999999999999999,3
2026-03-27 07:15:00,2026-03-27 07:20:00,long,68922.741792,68882.88,5.394162216204102,68554.13275161301,68554.13275161301,69291.35083238699,-363.6471437322942,-0.3636471437322942,-0.1081411133002777,布林带中轨止盈,false,false,2,10.0,37178.04496115978,371780.4496115978,51118.92659466868,0.0,0.0,false,0.09999999999999999,3
2026-03-27 23:20:00,2026-03-28 04:15:00,long,66234.99435,66260.46,5.643759751707881,65884.50285873185,65884.50285873185,66585.48584126814,-5.861236389907816,-0.005861236389907816,0.07265697066674431,布林带中轨止盈,false,false,2,10.0,37381.439526712886,373814.3952671289,49256.85927351748,37.507326776698996,0.0,false,0.09999999999999999,3
2026-03-28 23:10:00,2026-03-28 23:15:00,short,66387.46985000001,66328.21,4.52033261954353,66824.21467642588,66824.21467642588,65950.72502357414,147.9440044806932,0.1479440044806932,0.1356852935957111,布林带中轨止盈,false,false,1,10.0,30009.344549191766,300093.44549191766,87322.7049143048,0.0,0.0,false,0.1,3
2026-03-31 06:15:00,2026-03-31 07:10:00,short,67426.601982,67294.69,4.812107031082844,67836.98146962977,67836.98146962977,67016.22249437022,505.2428757048118,0.5052428757048119,0.3214390240649526,布林带中轨止盈,false,false,2,10.0,32446.402547960657,324464.0254796066,87117.52480592161,0.0,0.0,false,0.09999999999999999,3
2026-04-01 12:30:00,2026-04-01 12:35:00,short,68402.06685,68285.59,5.099188867371604,68790.81478907516,68790.81478907516,68013.31891092485,454.65700869458396,0.45465700869458403,0.29962049516483397,布林带中轨止盈,false,false,2,10.0,34879.50577867283,348795.05778672826,86996.45585934057,0.0,0.0,false,0.1,3
2026-04-01 22:05:00,2026-04-01 22:10:00,short,68208.36559799999,68216.38,5.27557645369002,68585.31055563895,68585.31055563895,67831.42064036103,-186.232881715275,-0.18623288171527502,-0.02126146493698822,布林带中轨止盈,false,false,1,10.0,35983.844749348915,359838.44749348913,86097.61716693346,0.0,0.0,false,0.1,3
2026-04-02 13:55:00,2026-04-05 15:35:00,long,66284.124174,67401.01,1.5341150772172707,66284.124174,65638.1496291053,66930.09871889469,2621.9989223283874,2.6219989223283875,1.7289935568313672,布林带中轨止盈,true,true,1,10.0,10168.747427547516,203374.94855095033,90.93640572332183,92.54249590638607,0.0,false,0.09999999999999999,2
2026-04-05 19:40:00,2026-04-05 20:35:00,short,67295.32824199999,67593.06934013985,6.885039644772358,67593.06934013985,67593.06934013985,66997.58714386013,-2236.111649418457,-2.2361116494184574,0.0,止损,false,false,1,10.0,46333.100285413886,463331.00285413885,80893.97775969838,0.0,0.0,false,0.1,3
2026-04-05 22:20:00,2026-04-05 22:40:00,short,67400.937116,67850.50625528996,4.452108048877515,67850.50625528996,67850.50625528996,66951.36797671004,-2122.3614975676073,-2.1223614975676073,0.0,止损,false,false,1,10.0,30007.625463603086,300076.2546360309,88343.32981671144,0.0,0.0,false,0.09999999999999999,3
