index,datetime,equity
0,2026-04-03 02:10:00,100000.0
1,2026-04-04 10:40:00,100198.53
2,2026-04-04 19:05:00,98098.1
3,2026-04-04 23:45:00,98201.49
4,2026-04-07 19:45:00,99336.3
5,2026-04-08 07:25:00,97242.15
6,2026-04-09 13:40:00,95195.99
7,2026-04-09 17:35:00,93252.69
8,2026-04-11 13:15:00,92581.62
9,2026-04-12 01:40:00,96445.7
10,2026-04-14 14:50:00,96022.24
11,2026-04-16 09:00:00,95672.42
12,2026-04-16 13:55:00,95219.33
13,2026-04-17 12:05:00,94220.85
14,2026-04-19 15:35:00,94736.02
15,2026-04-21 17:00:00,94831.51
16,2026-04-24 03:20:00,96209.32
17,2026-04-27 00:30:00,95889.46
18,2026-04-28 19:45:00,95677.18
19,2026-05-01 09:45:00,95847.17
20,2026-05-04 19:35:00,95640.32
21,2026-05-06 07:25:00,93672.23
22,2026-05-07 06:10:00,93760.29
23,2026-05-07 13:35:00,94354.76
24,2026-05-09 00:30:00,92396.03
25,2026-05-11 02:15:00,92596.87
26,2026-05-11 14:10:00,92396.63
27,2026-05-11 17:45:00,92164.08
28,2026-05-14 03:20:00,92076.34
29,2026-05-15 02:35:00,94335.61
30,2026-05-16 20:40:00,92297.53
31,2026-05-17 13:00:00,91981.55
32,2026-05-19 05:35:00,90055.92
33,2026-05-20 13:35:00,91059.17
34,2026-05-22 11:45:00,89131.59
35,2026-05-23 15:15:00,91468.26
36,2026-05-24 06:05:00,89510.85
37,2026-05-25 00:35:00,90184.55
38,2026-05-26 08:15:00,90255.45
39,2026-05-28 12:20:00,88350.21
40,2026-05-30 14:55:00,86495.86
41,2026-05-31 13:15:00,87074.29
42,2026-05-31 16:20:00,85234.55
43,2026-06-01 00:35:00,85072.92
44,2026-06-01 13:50:00,83329.13
45,2026-06-04 07:20:00,81625.57
46,2026-06-04 18:30:00,81430.2
47,2026-06-05 12:35:00,79780.57
48,2026-06-05 19:15:00,78176.97
49,2026-06-05 21:35:00,79609.9
50,2026-06-06 07:20:00,79363.74
51,2026-06-07 05:10:00,77733.75
52,2026-06-08 04:55:00,78862.54
53,2026-06-08 21:05:00,77215.78
54,2026-06-09 14:15:00,77133.17
55,2026-06-09 15:55:00,75552.02
56,2026-06-09 19:05:00,75149.83
57,2026-06-11 08:15:00,75127.43
58,2026-06-12 22:00:00,74675.06
59,2026-06-13 21:10:00,75241.5
60,2026-06-14 13:20:00,73677.59
61,2026-06-15 10:35:00,72117.64
62,2026-06-15 22:30:00,71777.42
63,2026-06-16 18:00:00,72910.49
64,2026-06-17 15:45:00,73519.05
65,2026-06-18 12:20:00,74494.27
66,2026-06-19 17:45:00,74692.47
67,2026-06-20 00:10:00,74428.22
68,2026-06-20 02:20:00,74337.47
69,2026-06-20 12:35:00,75049.27
70,2026-06-20 14:50:00,74723.53
71,2026-06-20 22:15:00,76526.39
72,2026-06-21 04:55:00,76501.95
73,2026-06-22 05:05:00,77118.06
74,2026-06-22 17:40:00,76899.09
75,2026-06-24 04:50:00,76770.39
76,2026-06-24 10:20:00,76271.41
77,2026-06-24 12:55:00,76282.53
78,2026-06-24 22:00:00,78514.7
79,2026-06-25 04:50:00,78841.21
80,2026-06-26 02:10:00,77225.13
81,2026-06-26 13:50:00,77425.89
82,2026-06-28 12:30:00,77992.91
83,2026-06-29 10:05:00,76352.13
84,2026-06-29 16:50:00,75994.88
85,2026-06-30 00:35:00,75915.28
86,2026-07-01 21:05:00,74311.26
87,2026-07-02 08:45:00,74311.26
