type,severity,title,description,suggestion
,warning,连续亏损 5 笔,"从第19笔开始连续亏损 5 笔
累计亏损: -5781.81 USDT (5.78% 本金)
在杠杆模式下，连续亏损会导致保证金快速消耗，增加爆仓风险",连续 5 笔亏损表明策略可能进入失效期。建议: ①暂停交易 ②减小仓位 ③检查市场环境是否变化
,critical,保证金利用率过高 (95.4%),"最大占用保证金: 95413.69 USDT
占初始资金: 95.4%
保证金利用率过高时，小幅波动即可能触发强平",保证金利用率达 95.4%，建议控制在50%以下。降低杠杆或减小仓位可显著降低爆仓风险。
